Head	CymD.D.LB	CymD.D.LRP	CymD.D.MRP	CymS.D.B	CymS.D.HRP.1	CymS.D.LRP.1	GyBn.D.NBP	LBAb.D.HRP	LBAb.D.LRP	LBAb.D.NBB	LBKM.D.HRP	LBKM.D.LRP	LBKM.D.MRP	LBKM.D.NBP	LBMa.D.BPB	LBMa.D.RP	LBTa.D.APB	LBTa.D.RP	LBTu.D.RP
GH5_7	3	2	3	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
GH62	0	0	0	0	0	0	0	10	8	4	0	0	0	0	0	0	0	0	0
GH63	9	8	8	7	5	6	15	2	3	1	0	0	4	0	11	64	0	0	0
GH65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GH66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH67	2	2	2	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
GH68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH73	4	7	5	13	32	27	33	22	13	23	28	20	22	7	3	36	82	29	7
GH74	601	620	598	177	178	199	120	300	321	223	227	255	282	411	1123	373	2522	798	747
GH75	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH76	37	35	31	17	19	22	8	6	9	5	10	10	17	16	36	6	6	42	50
GH77	3	4	4	4	8	9	6	14	7	17	25	15	14	8	27	6	7	27	12
GH78	4	3	3	8	6	7	4	3	1	2	2	2	3	10	0	0	4	11	0
GH8	0	0	0	1	1	1	1	0	0	0	5	11	6	4	0	0	0	0	23
GH80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH81	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH84	0	0	0	10	8	9	3	3	1	2	1	1	1	7	2	18	7	4	0
GH87	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH88	0	0	0	7	6	6	1	10	8	4	6	12	7	5	2	18	7	7	20
GH89	0	0	0	0	0	0	0	10	8	4	5	11	6	4	0	0	2	7	20
GH9	0	0	0	0	0	0	1	4	4	1	3	5	6	3	0	0	0	0	20
GH91	0	0	0	0	0	0	0	0	0	0	3	3	2	1	0	0	0	0	0
GH92	0	0	0	0	0	0	3	18	14	19	9	9	6	2	0	0	75	22	0
GH93	0	0	0	2	2	2	3	0	0	0	5	5	4	4	0	0	3	3	20
GH94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH95	0	0	0	4	4	4	5	29	24	12	19	36	23	20	0	0	5	20	60
GH97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	0
GH98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH99	1	2	3	5	4	5	7	15	11	7	0	0	0	0	0	0	0	0	20
A08	49	56	57	55	63	65	39	37	29	22	56	56	70	44	28	42	91	56	35
A22B	7	5	6	3	1	2	15	4	3	0	12	8	0	4	17	3	5	0	0
A24A	19	16	16	41	44	45	23	25	20	17	30	36	15	31	26	24	12	39	12
A24B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A24X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A28B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0
A31	0	0	0	2	14	9	10	0	0	0	0	0	4	0	0	0	66	0	0
A32	0	0	0	4	12	13	18	7	2	9	13	6	6	4	0	0	0	0	0
C01A	6	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C01B	41	40	39	15	11	13	17	12	15	4	30	27	4	27	0	0	73	7	0
C01X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C110	2	2	2	2	6	7	7	0	0	0	3	5	5	4	2	18	140	0	0
C13	0	0	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0
C14B	5	8	6	4	4	5	1	0	0	0	0	0	0	0	0	0	0	0	19
C25	0	0	0	0	0	0	2	2	3	1	0	0	0	0	0	0	66	0	0
C26	439	450	443	368	429	441	406	466	457	422	384	401	570	359	250	215	390	306	452
C39	0	0	0	0	0	0	4	0	0	0	3	1	46	2	2	18	5	0	0
C40	3	5	5	7	11	21	4	9	8	11	15	15	93	10	2	18	142	22	0
C44	119	125	120	99	139	139	143	140	104	111	156	160	169	151	166	51	127	151	150
C45	0	0	0	1	1	1	7	0	0	0	1	1	1	1	0	0	69	0	12
C51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C56	3	4	4	10	13	15	9	12	23	18	18	10	98	9	2	18	141	14	0
C59	0	0	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0
C60A	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	18	5	0	0
C69	3	4	3	4	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0
C82A	12	12	14	14	22	34	60	27	21	13	33	33	114	22	30	59	26	32	11
C82B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C93	0	0	0	2	6	7	6	6	3	3	7	5	2	1	2	18	7	7	0
C97	0	0	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0
I01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I02	0	0	0	5	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0
I11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I39	24	21	20	16	16	18	15	21	14	24	18	18	25	25	71	12	351	44	57
I42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I51	16	14	15	8	14	9	7	3	2	7	0	0	4	0	2	18	9	3	0
I75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
I78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I87	105	116	116	112	120	132	143	102	84	64	139	160	146	169	180	170	328	123	124
M01	49	52	53	38	54	52	70	73	58	72	79	66	146	54	73	94	294	101	86
M02	0	0	0	2	2	3	4	7	10	3	0	1	2	3	0	0	0	0	0
M03A	11	13	14	12	28	27	42	21	19	6	32	39	98	43	62	30	86	18	20
M03B	17	18	18	25	22	24	20	26	20	20	40	36	19	21	17	3	11	19	25
M03X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M04	0	0	0	0	0	0	0	0	0	0	2	3	5	1	0	0	0	0	0
M06	0	0	0	0	0	0	2	6	3	3	19	10	7	3	0	0	1	14	0
M09B	0	0	0	0	0	0	1	0	0	0	4	4	1	2	0	0	0	0	0
M10A	0	0	0	2	6	7	1	0	0	0	1	1	44	3	0	0	0	0	0
M10B	0	0	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0
M10X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
M12A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M12B	0	0	0	0	0	0	0	7	4	11	0	0	0	0	0	0	6	22	0
M13	0	0	0	0	0	0	6	3	1	2	1	0	47	0	0	0	135	0	0
M14A	11	10	11	4	4	9	5	4	3	0	4	6	7	13	63	12	137	11	20
M14B	23	21	21	7	5	5	21	0	0	0	13	11	5	13	29	23	77	1	0
M14C	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M15B	0	0	0	2	1	1	10	4	2	10	6	6	5	1	0	0	70	22	7
M15C	0	0	0	0	0	4	0	0	0	0	3	2	0	1	0	0	0	0	0
M15D	6	5	6	8	6	11	11	0	0	0	3	3	3	7	0	0	66	0	16
M16A	0	0	0	0	0	0	4	7	5	8	1	2	5	2	0	0	1	13	12
M16B	14	23	19	27	45	45	20	13	5	12	33	20	20	24	0	0	9	30	35
M16C	0	0	0	0	0	0	10	0	0	0	15	21	56	16	2	18	7	7	20
M17	40	40	42	35	50	49	66	38	48	32	61	56	34	48	43	27	28	64	63
M18	6	7	7	5	17	12	46	20	18	4	25	34	4	24	2	18	7	7	4
M19	20	20	20	27	24	32	19	3	1	2	21	26	63	42	60	12	13	31	23
M20A	107	126	123	80	92	104	109	123	103	72	102	133	96	145	163	73	40	86	75
M20B	0	0	0	0	0	0	1	0	0	0	8	7	3	4	0	0	66	0	0
M20C	8	6	6	2	1	2	1	0	0	0	1	0	43	0	0	0	70	22	0
M20D	46	40	42	47	39	43	60	48	56	42	47	53	69	66	107	19	99	79	32
M20F	15	14	12	4	3	3	9	26	23	23	31	32	30	38	36	6	76	49	41
M20X	27	30	32	27	23	29	26	44	47	2	16	27	2	23	49	12	8	6	16
M23A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M23B	58	64	56	73	130	121	98	99	100	118	100	97	156	89	49	44	444	150	101
M24A	65	67	64	60	72	74	84	69	54	72	84	86	129	82	79	33	93	45	93
M24B	101	100	93	100	99	107	85	79	75	53	75	73	128	70	91	54	99	75	73
M28A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	5	0	0
M28B	5	6	6	4	4	4	2	4	3	7	2	2	6	14	36	6	4	11	16
M28D	25	24	24	19	17	20	7	15	15	20	11	12	21	47	71	12	75	44	32
M28E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0
M28F	26	25	27	11	9	10	28	21	29	13	37	32	27	47	98	18	150	33	16
M28X	0	0	0	0	0	0	0	0	0	0	5	5	4	4	0	0	70	9	5
M29	13	10	8	4	3	3	4	13	10	6	5	11	6	4	0	0	3	13	32
M30	7	5	6	7	5	5	11	4	3	0	12	8	0	4	27	6	5	0	0
M32	13	15	14	11	10	12	6	11	8	9	16	26	22	12	10	2	4	10	20
M36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0
M38	49	51	55	58	101	107	98	72	59	46	87	83	187	66	78	83	46	100	118
M41	65	68	68	78	85	88	62	82	80	88	75	76	99	84	47	70	93	116	75
M42	7	7	7	11	14	16	17	19	27	12	22	25	19	15	0	0	72	29	20
M43B	2	2	2	0	0	0	3	20	29	9	5	6	2	2	0	0	0	0	0
M48A	6	7	8	13	34	38	36	29	23	19	21	13	13	7	11	64	73	28	0
M48B	7	6	7	11	19	18	28	17	17	8	14	8	56	6	5	53	16	9	5
M48C	1	3	2	18	31	32	54	21	16	9	40	25	154	19	3	36	153	21	0
M48X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M49	7	8	8	2	2	3	3	9	8	11	9	10	7	4	0	0	70	22	0
M50A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M50B	16	20	21	18	47	42	49	41	28	34	51	47	70	50	98	36	94	80	79
M50X	0	0	0	0	0	0	1	3	2	7	3	2	0	1	0	0	0	0	0
M54	0	0	0	0	0	0	0	0	16	4	0	0	0	0	0	0	0	0	0
M55	4	3	3	2	1	2	2	0	0	0	2	3	8	23	36	6	4	11	16
M56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0
M57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0
M60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M61	0	0	0	0	0	0	3	7	2	9	13	5	47	2	0	0	3	14	0
M64	1	2	3	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0
M66	4	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M67A	2	2	3	3	2	3	11	10	8	4	5	11	6	4	0	0	2	7	20
M67B	8	10	11	10	7	8	8	13	6	20	13	10	7	2	0	0	1	22	29
M67C	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M72	0	0	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0
M75	0	0	0	1	1	5	0	0	0	0	3	2	1	4	2	18	5	0	0
M78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	5	0	0
M79	8	10	11	8	8	9	22	24	16	25	22	13	7	7	2	18	210	43	0
M81	16	17	18	17	15	18	17	29	31	2	16	20	9	19	74	19	7	7	16
M82	15	11	10	25	17	18	15	7	5	7	16	12	6	7	17	3	1	13	12
M90	0	0	0	7	10	11	3	0	0	0	2	3	6	8	2	18	75	9	5
M97	5	6	6	2	2	3	2	0	0	0	0	1	1	5	0	0	69	0	0
M98	0	0	0	0	0	0	0	10	8	4	0	0	0	0	0	0	0	0	0
N06	15	14	11	34	44	40	16	33	16	33	44	26	25	10	3	36	16	55	34
N09	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
N10	0	0	0	0	0	0	7	0	16	4	0	0	0	0	0	0	0	0	0
N11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P01	33	36	34	10	8	11	3	1	6	0	5	7	10	35	0	0	1	9	5
S01A	0	0	0	0	0	0	3	0	0	0	3	2	0	1	2	18	5	0	0
S01B	14	16	10	9	16	11	17	14	16	13	8	5	1	2	0	0	0	0	0
S01C	42	53	52	47	55	67	92	114	83	107	118	116	165	121	98	36	102	136	128
S01D	0	0	0	0	0	0	3	12	5	22	12	8	5	2	0	0	68	22	0
S01E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S08A	30	25	28	24	18	19	41	27	23	22	35	26	93	12	42	61	230	1	40
S08B	5	4	4	3	1	2	6	0	0	0	12	8	0	4	27	6	0	0	0
S09A	46	43	44	26	23	25	24	51	42	63	48	48	43	93	145	42	298	91	90
S09B	18	18	19	10	9	10	36	33	34	27	27	33	80	64	145	42	90	65	92
S09C	120	131	125	77	76	81	54	70	60	36	50	57	143	111	73	30	97	77	120
S09D	11	10	12	9	7	9	16	6	10	6	4	3	8	11	36	6	70	11	16
S09X	141	154	144	153	162	173	144	128	114	61	174	212	241	172	102	94	418	159	166
S10	5	4	4	0	0	0	1	2	2	4	1	1	5	9	36	6	4	11	23
S11	6	12	8	40	46	50	36	18	8	23	34	22	149	24	67	83	34	56	35
S12	85	87	91	80	70	80	101	98	96	31	55	75	176	85	123	42	173	49	71
S13	15	12	11	9	11	17	6	5	4	4	7	7	10	13	2	18	6	13	12
S14	76	75	75	105	100	106	87	65	80	54	94	94	113	92	75	112	160	77	83
S15	15	12	14	15	11	13	13	24	29	8	21	17	4	14	52	12	79	13	0
S16	123	120	112	68	93	99	148	124	117	95	129	139	209	125	165	166	190	148	131
S24	76	90	89	49	60	66	73	75	50	82	80	74	219	77	26	24	93	92	31
S26A	48	48	48	25	42	38	60	40	30	25	41	34	73	43	37	24	91	48	44
S26B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
S26C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S33	231	259	251	187	200	220	223	190	184	100	188	209	697	200	273	377	417	160	182
S41A	38	44	41	44	53	54	64	89	74	75	85	96	138	79	54	66	304	63	39
S41B	17	13	11	1	1	1	1	13	10	11	6	13	11	6	0	0	0	0	32
S45	12	14	12	16	14	16	23	18	19	10	8	15	8	6	73	30	9	11	36
S46	5	5	6	0	0	0	2	4	2	10	13	12	10	7	0	0	2	43	0
S49A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S49B	3	5	4	19	32	29	29	47	49	52	44	52	79	31	2	18	14	29	52
S49C	26	29	26	13	12	14	7	13	10	12	7	5	14	16	37	24	10	20	16
S49X	0	0	0	0	0	0	0	0	0	0	13	6	7	4	0	0	1	9	5
S51	22	17	16	12	14	15	7	14	12	22	24	37	33	42	36	6	141	46	52
S54	41	50	51	46	43	56	31	94	91	75	77	79	172	53	54	66	306	79	32
S55	0	0	0	4	4	4	0	0	0	0	0	1	2	3	0	0	0	0	0
S66	3	2	3	5	4	4	4	5	7	2	6	5	6	2	0	0	69	0	0
S77	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	7	0
S78	0	0	0	0	0	0	0	0	0	0	1	0	43	0	0	0	0	0	0
T01A	13	10	11	8	6	11	30	29	23	22	27	36	20	17	27	6	11	32	37
T01B	33	36	35	41	36	40	34	16	23	23	33	33	28	39	37	24	15	34	52
T01X	0	0	0	2	1	2	17	4	3	0	13	10	45	7	18	21	10	0	0
T02	47	41	42	47	35	38	18	42	42	38	30	37	40	77	96	19	216	73	64
T03	225	250	238	150	138	163	85	117	135	32	107	154	53	126	161	55	105	61	79
T05	40	46	45	37	51	53	46	68	48	78	50	57	68	40	26	24	14	22	39
U32	41	35	37	43	51	55	53	67	80	76	63	64	84	42	63	12	14	32	56
U56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U62	117	128	125	124	122	135	72	85	79	64	91	98	55	87	60	15	22	118	53
U69	0	0	0	7	9	11	0	3	2	7	1	0	43	0	0	0	0	0	0
U72	5	5	6	6	4	6	36	44	37	20	29	51	40	24	0	0	10	54	95
U73	0	0	0	2	6	7	2	0	0	0	1	0	43	0	2	18	5	0	0
