Head	CymD.D.LB	CymD.D.LRP	CymD.D.MRP	CymD.D.PD.FS851	CymD.D.PD.FS852	CymD.D.PD.FS854	CymD.D.PD.FS856	CymS.D.B	CymS.D.HRP.1	CymS.D.LRP.1	CymS.D.VD.FS841	CymS.D.VD.FS842	CymS.D.VD.FS844	CymS.D.VD.FS848	CymS.D.VD.FS849	CymS.D.VD.FS866	CymS.D.VD.FS872	CymS.D.VD.FS874	CymS.D.VD.FS877	CymS.D.VD.FS879	CymS.D.VD.FS881	GyBn.D.NBP	LBAb.D.HRP	LBAb.D.LRP	LBAb.D.NBB	LBKM.D.HRP	LBKM.D.LRP	LBKM.D.MRP	LBKM.D.NBP	LBMa.D.BPB	LBMa.D.RP	LBTa.D.APB	LBTa.D.RP	LBTu.D.RP
GH106	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	15	16	14	2	4	0	5	7	2	0	0	0	0	0	0	0	0	0
GH108	0	0	0	7	28	10	5	0	0	0	1	9	0	1	0	1	0	2	1	1	5	0	0	0	0	1	0	90	0	0	0	0	0	0
GH109	488	510	488	37	115	82	92	533	472	521	79	120	139	37	75	16	485	118	100	46	31	346	1732	1561	809	1122	2064	1136	972	344	71	397	1194	3436
GH110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH113	0	0	0	0	0	1	0	6	7	7	0	0	0	0	0	0	0	0	0	0	0	6	10	8	4	3	1	3	2	0	0	66	0	20
GH114	21	21	19	14	61	9	8	3	2	2	12	52	27	4	2	0	50	18	8	4	2	2	0	0	0	0	0	0	0	2	18	7	0	0
GH116	0	0	0	0	0	0	0	2	2	2	1	0	8	0	0	0	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH117	0	0	0	1	1	1	1	8	7	7	0	0	0	0	0	0	0	0	0	0	0	4	19	16	8	16	29	22	11	0	0	6	17	20
GH12	3	2	3	0	0	0	0	6	5	5	0	0	0	0	0	0	1	16	13	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
GH120	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	10	8	4	4	7	1	6	11	64	0	0	20
GH122	0	0	0	0	0	0	0	0	0	0	4	1	0	4	1	4	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GH123	0	0	0	2	14	0	1	1	1	1	2	0	1	0	0	0	27	0	0	0	0	1	10	8	4	5	11	6	4	0	0	2	7	0
GH125	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	16	13	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
GH127	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	9	0	0	0	0	1	10	8	4	5	11	6	4	0	0	2	7	20
GH128	0	0	0	0	0	0	0	0	0	0	13	10	1	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH13	2	2	2	0	0	0	0	7	5	6	0	0	0	0	0	0	0	0	0	0	0	5	13	11	4	13	18	18	6	27	6	12	7	25
GH130	0	0	0	57	11	5	13	9	8	10	10	35	21	9	12	27	65	21	20	13	52	2	53	48	16	25	55	31	19	69	263	10	36	65
GH133	0	0	0	0	0	0	0	4	3	3	7	5	2	2	6	1	0	0	3	1	2	4	0	0	0	0	0	4	0	0	0	0	0	0
GH134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH135	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
GH136	3	3	4	0	0	7	7	0	0	0	3	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GH137	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10	8	4	5	11	6	4	0	0	3	13	40
GH139	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10	8	4	5	11	6	4	0	0	2	7	20
GH13_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	3	2	0	0	1	9	5
GH13_11	18	16	16	2	14	0	1	4	4	4	8	0	8	13	41	1	5	16	22	20	4	5	3	2	7	6	8	6	11	0	0	1	13	12
GH13_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	5	0	0
GH13_16	0	0	0	0	0	0	0	0	0	0	7	5	35	0	6	0	46	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_18	0	0	0	1	1	7	8	2	6	7	1	5	18	0	1	0	67	9	5	1	1	2	0	0	0	0	0	0	0	2	18	5	0	0
GH13_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	5	0	0
GH13_20	0	0	0	0	0	0	0	1	1	1	15	10	24	3	12	3	52	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
GH13_23	0	0	0	6	28	0	0	24	16	17	0	5	0	0	0	0	1	16	13	2	4	5	3	2	7	1	2	5	2	2	18	1	13	12
GH13_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	5	0	0
GH13_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	5	4	0	0	2	18	10
GH13_3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	62	37	3	3	0	0	0	0	3	2	0	1	0	0	0	0	0
GH13_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0
GH13_36	0	0	0	0	0	0	0	0	0	0	7	5	14	0	6	0	37	0	1	0	0	0	5	4	2	0	0	0	0	0	0	0	0	0
GH13_4	0	0	0	0	0	0	0	2	6	7	7	5	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH13_7	0	0	0	0	0	0	0	0	0	0	2	1	0	4	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GH13_9	14	12	11	3	16	2	2	33	29	31	15	52	16	13	4	1	5	17	23	21	4	8	10	4	16	13	7	10	4	0	0	2	27	12
GH14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
GH140	0	0	0	1	1	6	5	5	4	4	11	47	9	0	2	0	10	0	0	0	0	5	1	6	0	0	0	0	0	0	0	0	0	0
GH141	0	0	0	0	0	0	0	1	1	1	2	0	1	0	1	0	31	16	14	2	4	0	10	8	4	10	22	12	7	0	0	3	13	40
GH142	2	2	2	0	0	0	0	2	1	2	0	0	1	0	0	0	6	0	0	0	0	0	7	7	3	0	0	0	0	0	0	0	0	0
GH144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0
GH145	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0	0	13	0	0	0	0	1	10	8	4	5	11	6	4	0	0	3	13	60
GH146	1	2	3	0	0	0	0	0	0	0	1	0	0	0	0	0	10	16	13	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
GH148	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	22	0	0	0	0	0	14	5	19	6	4	2	7	0	0	0	0	0
GH149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH15	24	24	23	13	10	4	2	8	5	7	0	5	1	1	0	1	6	16	13	3	5	11	0	0	0	4	4	13	8	0	0	4	18	10
GH151	11	10	10	0	0	1	0	5	3	4	2	20	0	0	1	13	4	2	0	1	12	1	10	8	4	16	23	8	31	0	0	3	13	20
GH153	0	0	0	1	1	6	6	0	0	0	1	0	0	0	1	0	0	62	37	3	3	0	0	0	0	1	0	43	0	0	0	0	0	0
GH16	12	11	12	0	0	0	0	6	5	5	1	10	8	0	0	0	10	0	1	0	0	3	21	21	9	16	13	2	11	0	0	4	7	40
GH17	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH18	10	7	9	0	0	2	2	7	5	6	29	99	41	1	9	0	28	16	15	2	4	6	0	0	0	7	6	6	12	0	0	66	0	0
GH19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20	14	2	4	0	0	0	0	1	0	43	0	0	0	0	0	0
GH2	13	12	13	2	1	12	8	12	10	12	2	0	5	0	0	0	49	16	14	2	4	26	32	29	24	15	21	17	15	71	12	81	57	76
GH20	7	6	6	0	0	0	0	2	1	1	1	0	1	0	0	0	14	0	0	0	0	13	8	3	17	13	13	13	15	36	6	71	33	23
GH23	89	99	93	331	304	141	137	121	165	168	128	253	140	109	64	33	110	470	342	184	106	155	175	117	193	172	148	398	130	80	165	205	218	172
GH24	0	0	0	0	0	2	1	0	0	0	2	0	1	0	3	0	0	186	112	10	9	2	0	0	0	1	0	90	0	0	0	0	0	0
GH25	0	0	0	0	0	1	0	0	0	0	7	5	1	0	7	0	1	78	51	5	7	1	0	0	0	1	0	43	0	0	0	0	0	0
GH26	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH28	3	3	3	0	0	0	0	15	12	13	0	0	0	0	0	0	4	0	0	0	0	6	10	8	4	6	13	9	9	2	18	12	7	20
GH29	2	2	2	0	0	0	0	8	6	7	1	0	1	0	0	0	19	0	0	0	0	6	28	29	16	14	16	11	8	0	0	3	13	36
GH3	44	43	45	24	53	79	72	40	47	53	28	94	84	25	14	3	84	87	62	36	10	61	44	35	36	64	75	85	78	60	12	95	83	36
GH30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
GH31	0	0	0	0	0	0	0	0	0	0	1	0	46	0	2	0	90	0	3	0	0	0	0	0	0	3	2	4	1	0	0	5	0	7
GH32	4	4	4	1	3	1	2	10	10	10	1	0	1	0	0	0	22	0	0	0	0	3	58	49	24	48	102	58	35	0	0	16	60	221
GH33	50	41	46	0	0	3	4	66	55	56	15	5	17	1	11	1	121	0	4	1	1	95	163	137	88	172	247	128	113	117	23	70	250	392
GH36	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	0	35	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
GH37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	22	128	2	0	0
GH38	0	0	0	2	7	3	5	0	0	0	2	2	15	1	1	2	48	0	2	1	1	4	4	3	0	12	8	0	4	17	3	2	0	0
GH39	0	0	0	0	0	0	0	0	0	0	50	30	209	2	42	0	370	1	23	1	0	12	0	0	0	3	2	0	1	0	0	0	0	14
GH4	9	8	9	0	0	0	0	18	14	16	5	1	7	10	3	4	46	0	7	7	8	21	21	19	9	6	11	49	4	0	0	3	13	56
GH42	0	0	0	0	0	0	0	3	3	3	0	5	0	0	0	0	4	0	0	0	0	9	10	8	4	11	23	17	9	11	64	2	7	40
GH43	4	3	3	1	3	1	2	1	1	2	1	0	7	4	0	0	3	0	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH43_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GH43_12	0	0	0	0	0	0	0	0	0	0	7	5	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH43_18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
GH43_2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	7	0	0	2	10	9	0	0	0	0	3	3	2	1	0	0	0	0	0
GH43_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
GH43_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
GH43_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH43_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	0	0	0	0	0
GH43_5	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	7
GH43_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	13	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
GH44	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	4	5	11	6	4	0	0	0	0	20
GH49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH5	0	0	0	0	0	0	0	1	1	1	10	5	27	0	6	0	83	16	15	2	4	5	19	16	8	10	17	9	8	0	0	2	7	27
GH50	6	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	4	6	12	7	5	0	0	2	7	0
GH51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	10	8	4	8	13	6	5	0	0	2	7	20
GH53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	13	2	4	0	0	0	0	0	0	0	0	0	0	2	0	0
GH56	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH57	0	0	0	14	12	6	3	5	10	11	27	53	62	24	14	12	123	1	19	14	4	5	11	5	10	24	13	5	6	17	3	6	14	0
GH59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
GH5_13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	1	2	1	1	1	7	0	0	0	0	0
GH5_19	0	0	0	0	0	0	0	0	0	0	2	0	44	2	2	2	41	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH5_21	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH5_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH5_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	2	5	0	0	0	0	7
GH5_28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH5_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH5_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH5_46	5	4	5	0	0	0	0	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	9	0	0	0	0	0
GH5_48	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	6	0	2	0	0	0	0	0	0	5	11	6	4	0	0	0	0	20
GH5_5	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	7	0
GH5_7	3	2	3	0	0	0	0	5	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	10	8	4	0	0	0	0	0	0	0	0	0
GH63	9	8	8	0	0	0	0	7	5	6	0	0	0	0	0	0	0	0	0	0	0	15	2	3	1	0	0	4	0	11	64	0	0	0
GH65	0	0	0	0	0	0	0	0	0	0	2	5	18	0	1	0	41	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GH66	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH67	2	2	2	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	32	27	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0
GH73	4	7	5	4	5	16	16	13	32	27	11	57	12	5	3	1	0	14	6	3	8	33	22	13	23	28	20	22	7	3	36	82	29	7
GH74	601	620	598	6	4	28	41	177	178	199	31	20	101	67	23	6	150	28	50	80	3	120	300	321	223	227	255	282	411	1123	373	2522	798	747
GH75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH76	37	35	31	0	0	7	8	17	19	22	40	1	8	10	1	2	0	2	7	10	8	8	6	9	5	10	10	17	16	36	6	6	42	50
GH77	3	4	4	3	16	1	1	4	8	9	13	47	33	15	3	1	43	1	10	15	0	6	14	7	17	25	15	14	8	27	6	7	27	12
GH78	4	3	3	0	0	0	0	8	6	7	7	5	1	0	5	0	10	0	1	0	0	4	3	1	2	2	2	3	10	0	0	4	11	0
GH8	0	0	0	1	1	7	7	1	1	1	0	0	0	0	0	0	1	16	13	2	4	1	0	0	0	5	11	6	4	0	0	0	0	23
GH80	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0	13	0	1	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	0
GH81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH82	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH84	0	0	0	0	0	0	0	10	8	9	0	0	5	5	1	0	0	1	4	6	0	3	3	1	2	1	1	1	7	2	18	7	4	0
GH87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GH88	0	0	0	0	0	0	0	7	6	6	3	0	0	0	0	0	4	0	0	0	1	1	10	8	4	6	12	7	5	2	18	7	7	20
GH89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	8	4	5	11	6	4	0	0	2	7	20
GH9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	4	1	3	5	6	3	0	0	0	0	20
GH91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	2	1	0	0	0	0	0
GH92	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	18	14	19	9	9	6	2	0	0	75	22	0
GH93	0	0	0	0	0	1	2	2	2	2	0	0	2	0	0	0	17	0	0	0	0	3	0	0	0	5	5	4	4	0	0	3	3	20
GH94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH95	0	0	0	0	0	0	0	4	4	4	0	0	0	0	0	0	4	0	0	0	0	5	29	24	12	19	36	23	20	0	0	5	20	60
GH97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	0
GH98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GH99	1	2	3	0	0	0	0	5	4	5	1	0	0	0	0	0	13	0	0	0	0	7	15	11	7	0	0	0	0	0	0	0	0	20
A08	49	56	57	83	81	78	77	55	63	65	63	61	46	32	51	5	39	100	76	49	19	39	37	29	22	56	56	70	44	28	42	91	56	35
A22B	7	5	6	1	3	1	2	3	1	2	1	7	0	4	1	2	0	0	1	7	21	15	4	3	0	12	8	0	4	17	3	5	0	0
A24A	19	16	16	84	54	71	73	41	44	45	56	52	41	61	14	53	5	81	65	41	23	23	25	20	17	30	36	15	31	26	24	12	39	12
A24B	0	0	0	13	10	4	1	0	0	0	3	0	0	2	1	2	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
A24X	0	0	0	1	3	1	2	0	0	0	1	7	0	4	1	2	0	0	1	7	21	0	0	0	0	0	0	0	0	0	0	0	0	0
A28B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	16	13	2	4	0	0	0	0	0	0	0	0	0	0	69	0	0
A31	0	0	0	87	49	28	26	2	14	9	48	163	58	69	34	83	38	24	41	57	46	10	0	0	0	0	0	4	0	0	0	66	0	0
A32	0	0	0	6	28	0	0	4	12	13	1	10	0	0	1	0	1	43	19	3	6	18	7	2	9	13	6	6	4	0	0	0	0	0
C01A	6	8	8	3	14	3	4	0	0	0	11	47	14	5	2	0	0	1	3	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0
C01B	41	40	39	0	0	1	2	15	11	13	0	0	0	0	0	0	0	0	0	0	0	17	12	15	4	30	27	4	27	0	0	73	7	0
C01X	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C110	2	2	2	2	16	1	2	2	6	7	13	47	10	5	3	0	0	71	43	12	4	7	0	0	0	3	5	5	4	2	18	140	0	0
C13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	71	40	4	4	0	0	0	0	1	0	43	0	0	0	0	0	0
C14B	5	8	6	8	12	27	28	4	4	5	11	47	8	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19
C25	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	2	3	1	0	0	0	0	0	0	66	0	0
C26	439	450	443	420	307	311	306	368	429	441	387	517	474	406	389	462	470	776	604	405	420	406	466	457	422	384	401	570	359	250	215	390	306	452
C39	0	0	0	0	0	2	1	0	0	0	8	10	1	0	7	0	0	71	40	4	4	4	0	0	0	3	1	46	2	2	18	5	0	0
C40	3	5	5	49	103	161	132	7	11	21	14	52	46	37	12	11	5	39	33	67	26	4	9	8	11	15	15	93	10	2	18	142	22	0
C44	119	125	120	127	169	129	126	99	139	139	53	165	93	141	55	157	25	296	210	115	112	143	140	104	111	156	160	169	151	166	51	127	151	150
C45	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	6	0	0	0	0	7	0	0	0	1	1	1	1	0	0	69	0	12
C51	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C56	3	4	4	52	3	2	6	10	13	15	25	61	27	8	25	6	23	41	25	15	26	9	12	23	18	18	10	98	9	2	18	141	14	0
C59	0	0	0	0	0	2	2	0	0	0	1	0	0	0	1	0	0	62	37	3	3	0	0	0	0	1	0	43	0	0	0	0	0	0
C60A	0	0	0	0	0	0	0	0	0	0	7	5	15	0	6	0	43	0	1	0	0	2	0	0	0	0	0	0	0	2	18	5	0	0
C69	3	4	3	0	0	0	0	4	4	5	1	0	0	2	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C82A	12	12	14	42	109	71	63	14	22	34	29	63	157	62	35	8	223	254	180	114	44	60	27	21	13	33	33	114	22	30	59	26	32	11
C82B	0	0	0	1	1	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C93	0	0	0	0	0	3	2	2	6	7	1	5	0	0	0	0	0	9	3	0	1	6	6	3	3	7	5	2	1	2	18	7	7	0
C97	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	62	37	3	3	0	0	0	0	1	0	43	0	0	0	0	0	0
I01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I02	0	0	0	1	1	9	5	5	4	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I11	0	0	0	2	3	1	1	0	0	0	0	0	0	0	0	0	0	9	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	62	37	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
I39	24	21	20	1	1	8	15	16	16	18	1	0	1	0	2	0	11	87	53	6	8	15	21	14	24	18	18	25	25	71	12	351	44	57
I42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I51	16	14	15	3	14	4	5	8	14	9	13	53	16	8	14	8	33	6	7	19	15	7	3	2	7	0	0	4	0	2	18	9	3	0
I75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
I78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	25	16	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0
I87	105	116	116	105	114	148	142	112	120	132	119	261	105	85	110	92	61	131	109	68	88	143	102	84	64	139	160	146	169	180	170	328	123	124
M01	49	52	53	16	66	44	39	38	54	52	21	52	21	19	10	3	2	109	81	34	20	70	73	58	72	79	66	146	54	73	94	294	101	86
M02	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	1	16	13	2	4	4	7	10	3	0	1	2	3	0	0	0	0	0
M03A	11	13	14	12	40	34	29	12	28	27	14	47	28	21	9	3	2	172	118	34	25	42	21	19	6	32	39	98	43	62	30	86	18	20
M03B	17	18	18	3	15	5	7	25	22	24	16	15	31	6	12	1	79	0	7	9	2	20	26	20	20	40	36	19	21	17	3	11	19	25
M03X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M04	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	2	3	5	1	0	0	0	0	0
M06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	3	3	19	10	7	3	0	0	1	14	0
M09B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	4	4	1	2	0	0	0	0	0
M10A	0	0	0	0	0	0	0	2	6	7	1	0	1	0	2	0	0	124	75	7	6	1	0	0	0	1	1	44	3	0	0	0	0	0
M10B	0	0	0	6	28	0	0	0	0	0	0	0	0	0	1	0	2	32	27	4	7	0	0	0	0	1	0	43	0	0	0	0	0	0
M10X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
